datetime,Latitude,Longitude,CHL
2018-07-24 22:00:00,52.1931,105.9194,2.7
2018-07-25 09:14:00,52.5733333333333,106.45475,2.69
2018-07-25 13:48:00,52.79355,107.120116666667,2.85
2018-07-25 19:51:00,53.0499,107.432016666667,1.01
2018-07-26 06:12:00,52.74235,107.6441,2.73
2018-07-26 11:58:00,53.1561333333333,108.0031,0.579891647058824
2018-07-26 22:04:00,53.3632333333333,108.224466666667,0.58
2018-07-27 10:35:00,54.1854333333333,109.1004,1.61
2018-07-27 13:30:00,54.3842666666667,109.423083333333,3.06862352941176
2018-07-27 17:04:00,54.4541666666667,109.069933333333,1.97802023529412
2018-07-27 21:57:00,54.53095,108.70575,3.74787385620915
2018-07-28 05:23:00,55.04625,109.4341,3.44
2018-07-28 20:04:00,55.7171,109.62405,4.21
2018-07-29 04:50:00,55.32035,109.483016666667,3.32907557932264
2018-07-29 08:56:00,55.29305,109.7124,3.02
2018-07-29 09:00:00,54.6305166666667,109.370616666667,2.54232214532872
2018-07-29 11:00:00,54.5465833333333,109.266716666667,1.38532757352941
2018-07-29 13:00:00,54.4589166666667,109.15225,2.32
2018-07-29 15:00:00,54.2974,108.947616666667,2.32
2018-07-30 04:41:00,53.6326833333333,108.12605,2.74885041176471
2018-07-30 11:48:00,53.44255,107.673266666667,1.38
2018-07-30 16:08:00,53.3554666666667,107.485133333333,2.06604663432383
2018-07-31 08:23:00,52.3456166666667,106.06495,2.21
2018-07-31 11:00:00,52.1829333333333,106.117966666667,2.32
2018-07-31 13:00:00,51.7768833333333,105.370916666667,2.24
2018-07-31 18:53:00,51.9147166666667,105.630966666667,3.07965227703985
2019-09-03 16:30:00,51.75905,104.2208,1.19045667820069
2019-09-04 07:30:00,51.6454666666667,104.227033333333,1.19819916955017
2019-09-04 10:30:00,51.5270833333333,104.238183333333,1.11140712802768
2019-09-04 16:15:00,51.8147,104.90915,2.6670078200692
2019-09-04 16:40:00,51.7842666666667,104.935866666667,1.90996290657439
2019-09-04 18:30:00,51.89345,105.2471,1.85924844290657
2019-09-05 06:35:00,52.7936833333333,107.117933333333,2.03930103806228
2019-09-05 09:30:00,52.6627833333333,106.8528,2.00855570934256
2019-09-05 15:30:00,53.2418166666667,107.258066666667,1.61268094117647
2019-09-05 19:00:00,53.4311166666667,107.6895,1.33339823529412
2019-09-06 13:00:00,55.04265,109.43375,1.31127923529412
2019-09-06 16:10:00,55.3518833333333,109.247883333333,1.76814194117647
2019-09-06 17:30:00,55.3217166666667,109.482066666667,1.29464629411765
2019-09-07 14:00:00,55.5638666666667,109.594816666667,1.05882352941176
2019-09-08 15:45:00,54.52265,108.700583333333,1.88103352941176
2019-09-09 11:15:00,53.3485,108.23795,2.73755794117647
2019-09-09 13:30:00,53.1507333333333,108.014366666667,2.42345447058823
2019-09-09 16:30:00,53.0510666666667,107.429466666667,2
2019-09-09 18:00:00,52.89415,107.529383333333,1.6475990085922
2019-09-10 07:00:00,52.7361666666667,107.659383333333,2.307195
2019-09-11 06:45:00,52.3442,106.062483333333,2.06433711764706
2019-09-11 12:00:00,51.7774,105.374333333333,2.32941176470588
